,word,topic_id,importance,word_count
0,teliti,0,0.021115141,225
1,pengaruh,0,0.019117052,104
2,data,0,0.012808217,98
3,model,0,0.011889822,88
4,aplikasi,0,0.011307733,62
5,signifikan,0,0.010894424,59
6,variabel,0,0.010690366,59
7,positif,0,0.008458139,43
8,nilai,0,0.00816439,79
9,tingkat,0,0.007581472,60
10,teliti,1,0.017742846,225
11,surabaya,1,0.00964429,33
12,digital,1,0.009635068,38
13,informasi,1,0.009263358,80
14,of,1,0.007523078,32
15,pengaruh,1,0.007206477,104
16,layan,1,0.0068983906,52
17,anak,1,0.006175839,14
18,nilai,1,0.006079739,79
19,variabel,1,0.005874318,59
20,teliti,2,0.027653603,225
21,teknologi,2,0.012329693,72
22,risiko,2,0.01147033,44
23,informasi,2,0.010663438,80
24,proses,2,0.010638642,51
25,data,2,0.009853189,98
26,kembang,2,0.009761361,66
27,model,2,0.009557046,88
28,nilai,2,0.009050652,79
29,sistem,2,0.008724365,58
